Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Calorische bovenwaarde;Omschrijving
17-04-2023;13:00:00;17-04-2023;14:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
17-04-2023;14:00:00;17-04-2023;15:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
17-04-2023;14:00:00;17-04-2023;15:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
17-04-2023;15:00:00;17-04-2023;16:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
17-04-2023;15:00:00;17-04-2023;16:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
17-04-2023;16:00:00;17-04-2023;17:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
17-04-2023;16:00:00;17-04-2023;17:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
17-04-2023;17:00:00;17-04-2023;18:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
17-04-2023;17:00:00;17-04-2023;18:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
17-04-2023;18:00:00;17-04-2023;19:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,020;m³;Uitgelezen;;
17-04-2023;18:00:00;17-04-2023;19:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,228;kWh;Uitgelezen;Definitief;
17-04-2023;19:00:00;17-04-2023;20:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,063;m³;Uitgelezen;;
17-04-2023;19:00:00;17-04-2023;20:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,718;kWh;Uitgelezen;Definitief;
17-04-2023;20:00:00;17-04-2023;21:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
17-04-2023;20:00:00;17-04-2023;21:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
17-04-2023;21:00:00;17-04-2023;22:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
17-04-2023;21:00:00;17-04-2023;22:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
17-04-2023;22:00:00;17-04-2023;23:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,025;m³;Uitgelezen;;
17-04-2023;22:00:00;17-04-2023;23:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,285;kWh;Uitgelezen;Definitief;
17-04-2023;23:00:00;18-04-2023;00:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,028;m³;Uitgelezen;;
17-04-2023;23:00:00;18-04-2023;00:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,319;kWh;Uitgelezen;Definitief;
18-04-2023;00:00:00;18-04-2023;01:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,100;m³;Uitgelezen;;
18-04-2023;00:00:00;18-04-2023;01:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;1,139;kWh;Uitgelezen;Definitief;
18-04-2023;01:00:00;18-04-2023;02:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,113;m³;Uitgelezen;;
